Pairs,Cosine Distance
"(0, 0)",0.008364037650007159
"(0, 1)",0.007044110720822897
"(0, 2)",0.01002161990442069
"(0, 3)",0.009985913041142939
"(0, 4)",0.010719867435890443
"(0, 5)",0.009849199017070369
"(0, 6)",0.007087466268651899
"(0, 7)",0.008619118042712934
"(0, 8)",0.008883499545978843
"(0, 9)",0.010524123569000229
"(0, 10)",0.00824092537372003
"(0, 11)",0.008036743938218861
"(0, 12)",0.011689548471717376
"(0, 13)",0.007470701587892149
"(0, 14)",0.006589716757614492
"(0, 15)",0.005450651195458187
"(0, 16)",0.00889125186423366
"(0, 17)",0.008416953728412427
"(0, 18)",0.006171917950877334
"(0, 19)",0.008328977145039808
"(1, 1)",0.0050313465502310915
"(1, 2)",0.008651239966068609
"(1, 3)",0.006157950906691435
"(1, 4)",0.006435403126773169
"(1, 5)",0.00641089240100719
"(1, 6)",0.006327613317965348
"(1, 7)",0.01207737874176143
"(1, 8)",0.008828734942692418
"(1, 9)",0.006365160928825837
"(1, 10)",0.010060620677590101
"(1, 11)",0.008889916556317524
"(1, 12)",0.007358606810360877
"(1, 13)",0.009180412395234925
"(1, 14)",0.006449467142057416
"(1, 15)",0.008788857097765295
"(1, 16)",0.007980502120788387
"(1, 17)",0.008758276998475267
"(1, 18)",0.008865850612002495
"(1, 19)",0.011315098205139216
"(2, 2)",0.008150197422703313
"(2, 3)",0.008312453132325155
"(2, 4)",0.011045177764536635
"(2, 5)",0.005890315545563069
"(2, 6)",0.006508510171602668
"(2, 7)",0.007729319377715791
"(2, 8)",0.005866816578059673
"(2, 9)",0.008546971066663685
"(2, 10)",0.010100394912274456
"(2, 11)",0.006189168936084834
"(2, 12)",0.005851193566612885
"(2, 13)",0.008698568701890485
"(2, 14)",0.006678828153685643
"(2, 15)",0.011479255040778355
"(2, 16)",0.00852576200033393
"(2, 17)",0.00696803926068817
"(2, 18)",0.010104547975160666
"(2, 19)",0.008608837800141888
"(3, 3)",0.006884033978448727
"(3, 4)",0.008055246810711018
"(3, 5)",0.0066561193939113006
"(3, 6)",0.004967125183257774
"(3, 7)",0.007722342159403711
"(3, 8)",0.00909684514447367
"(3, 9)",0.005535933772917853
"(3, 10)",0.010947191530288928
"(3, 11)",0.006171565024083117
"(3, 12)",0.009181314625763543
"(3, 13)",0.009253758462680933
"(3, 14)",0.0083674358847264
"(3, 15)",0.007196839143605985
"(3, 16)",0.008879230753775773
"(3, 17)",0.009720076040832144
"(3, 18)",0.008981792820047541
"(3, 19)",0.008295803339746624
"(4, 4)",0.0075833095791474564
"(4, 5)",0.008431641848134193
"(4, 6)",0.0043953343001946425
"(4, 7)",0.009539637092313435
"(4, 8)",0.005703313311977209
"(4, 9)",0.007183589993997615
"(4, 10)",0.008938022896780126
"(4, 11)",0.008534173445895873
"(4, 12)",0.006918646215797884
"(4, 13)",0.009757988862454409
"(4, 14)",0.008252196805016496
"(4, 15)",0.009570215339461952
"(4, 16)",0.009622243805136009
"(4, 17)",0.009844524952198924
"(4, 18)",0.012806531374764106
"(4, 19)",0.008451885081577489
"(5, 5)",0.004409292474901747
"(5, 6)",0.008618857580745237
"(5, 7)",0.010008034880732316
"(5, 8)",0.0069347121632302115
"(5, 9)",0.009010136340138449
"(5, 10)",0.009350013670312211
"(5, 11)",0.006868177059019152
"(5, 12)",0.009492678451693937
"(5, 13)",0.00730934855576809
"(5, 14)",0.006153439565521414
"(5, 15)",0.00914262353220658
"(5, 16)",0.006759516321003711
