Pairs,Cosine Distance
"(0, 0)",0.009644344978180492
"(0, 1)",0.007860276619228793
"(0, 2)",0.010847901207463189
"(0, 3)",0.010026800229954332
"(0, 4)",0.012148177318043987
"(0, 5)",0.009490773957760828
"(0, 6)",0.011062562673967448
"(0, 7)",0.013264618722468093
"(0, 8)",0.012336926874638983
"(0, 9)",0.008727646082839012
"(0, 10)",0.010098042336916089
"(0, 11)",0.00927364759941864
"(0, 12)",0.009344446299170363
"(0, 13)",0.011222839598958584
"(0, 14)",0.00920187294900941
"(0, 15)",0.010202822721963985
"(0, 16)",0.006957363160398245
"(0, 17)",0.010675582801047611
"(0, 18)",0.008853240751411008
"(0, 19)",0.012664923596702536
"(0, 20)",0.013296272429125702
"(0, 21)",0.008878341020005155
"(0, 22)",0.008458000882509236
"(0, 23)",0.012201177173281745
"(0, 24)",0.010021241465841818
"(0, 25)",0.012850349434209887
"(0, 26)",0.004674238671358516
"(0, 27)",0.00709423637033715
"(0, 28)",0.00628670133129763
"(0, 29)",0.009530080413911854
"(0, 30)",0.009060255531619594
"(0, 31)",0.01004453489757992
"(0, 32)",0.010690625769571527
"(0, 33)",0.009720764394303168
"(0, 34)",0.010318205656603747
"(0, 35)",0.01008282223671006
"(0, 36)",0.010758605875790282
"(0, 37)",0.01170949920404516
"(0, 38)",0.010228178311245903
"(0, 39)",0.01093865030408083
"(0, 40)",0.010261678089097217
"(0, 41)",0.006772410968439141
"(0, 42)",0.00909721111436197
"(0, 43)",0.011224309756984102
"(0, 44)",0.009490557021431506
"(0, 45)",0.00951374628395838
"(0, 46)",0.009502672853364121
"(0, 47)",0.012796891374836243
"(0, 48)",0.008779645483579021
"(0, 49)",0.011813812053601441
"(0, 50)",0.012238161937208784
"(0, 51)",0.007129316912166665
"(0, 52)",0.011609823119998081
"(0, 53)",0.008535646879077607
"(0, 54)",0.011805871842262157
"(0, 55)",0.01289628828982247
"(0, 56)",0.009180790001322594
"(0, 57)",0.009068897417551795
"(0, 58)",0.012742134298462802
"(0, 59)",0.010413185448987925
"(0, 60)",0.008464573902754803
"(0, 61)",0.010345899531824715
"(0, 62)",0.009397282950710675
"(0, 63)",0.009661634123255256
"(0, 64)",0.00866124849270251
"(0, 65)",0.009118737860927031
"(0, 66)",0.009773485718517676
"(0, 67)",0.009474909797936184
"(0, 68)",0.008491237203154806
"(0, 69)",0.01170264497087914
"(0, 70)",0.009866501839296379
"(0, 71)",0.007465739833558843
"(0, 72)",0.00797290267603827
"(0, 73)",0.011885056488793599
"(0, 74)",0.011766248227393791
"(0, 75)",0.008940603231814202
"(0, 76)",0.008443109921260891
"(0, 77)",0.009562770593308352
"(0, 78)",0.009451544969417101
"(0, 79)",0.011352545512155547
"(0, 80)",0.010313898521647028
"(0, 81)",0.01042011631510683
"(0, 82)",0.01017175299070121
"(0, 83)",0.007935143211689534
"(0, 84)",0.008308728121783479
"(0, 85)",0.00799522522261332
"(0, 86)",0.011775689986766853
"(0, 87)",0.00877426137248791
"(0, 88)",0.01005893347692115
"(0, 89)",0.009213994380083678
"(1, 1)",0.012337543477830216
"(1, 2)",0.008268173809885494
"(1, 3)",0.008379551697821388
"(1, 4)",0.009364185582210322
"(1, 5)",0.010353168157154173
"(1, 6)",0.010109012808247749
"(1, 7)",0.012800302362308702
"(1, 8)",0.010516731130190263
"(1, 9)",0.00974752874486543
"(1, 10)",0.008858735950748478
"(1, 11)",0.010465680687623876
"(1, 12)",0.0060225971938608035
"(1, 13)",0.006535064102472326
"(1, 14)",0.01182405691848563
"(1, 15)",0.013173253458472771
"(1, 16)",0.0124249890034299
"(1, 17)",0.009625209089129179
"(1, 18)",0.010866992461243398
"(1, 19)",0.009027934567283303
"(1, 20)",0.00939330279474678
"(1, 21)",0.009838021211039558
"(1, 22)",0.011432564439945827
"(1, 23)",0.010240955417314157
"(1, 24)",0.008839223695863783
"(1, 25)",0.0074381942818848735
"(1, 26)",0.010496290103966585
"(1, 27)",0.010557736432320637
"(1, 28)",0.011325394446431639
"(1, 29)",0.011138868551686422
"(1, 30)",0.012015820205370209
"(1, 31)",0.008048377581819005
"(1, 32)",0.013453446975425085
"(1, 33)",0.010664694348672198
"(1, 34)",0.010596920125797438
"(1, 35)",0.010371939980200444
"(1, 36)",0.009483417652804355
"(1, 37)",0.012391147637157391
"(1, 38)",0.01035647939064759
"(1, 39)",0.009278472497560345
"(1, 40)",0.00896826911871913
"(1, 41)",0.007538992588803018
"(1, 42)",0.010364534237449284
"(1, 43)",0.009375480822047788
"(1, 44)",0.011123580473411875
"(1, 45)",0.008758432806812108
"(1, 46)",0.01085951192066983
"(1, 47)",0.0070658721185611825
"(1, 48)",0.010091190030671328
"(1, 49)",0.007846994992094937
"(1, 50)",0.01153794197812662
"(1, 51)",0.012228729769922614
"(1, 52)",0.012051510014188332
"(1, 53)",0.011789308677136193
"(1, 54)",0.011727950107090877
"(1, 55)",0.009275427524539337
"(1, 56)",0.012222305718459805
"(1, 57)",0.009798837369531134
"(1, 58)",0.010583217190807083
"(1, 59)",0.00882962809556232
"(1, 60)",0.011758602390676267
"(1, 61)",0.00982804657478966
"(1, 62)",0.008875777744643147
"(1, 63)",0.010203678138931445
"(1, 64)",0.008067616264770488
"(1, 65)",0.007819770353246809
"(1, 66)",0.009256297227489965
"(1, 67)",0.012299685830278611
"(1, 68)",0.009805051990367202
"(1, 69)",0.01048222162293057
"(1, 70)",0.012017919307768335
"(1, 71)",0.010476007029001918
"(1, 72)",0.012183203008226744
"(1, 73)",0.01082490226473854
"(1, 74)",0.01142267359010483
"(1, 75)",0.01187683488886289
"(1, 76)",0.010897067610487874
"(1, 77)",0.009588744498004445
"(1, 78)",0.00975962893620136
"(1, 79)",0.009495869681543388
"(1, 80)",0.011545716493032923
"(1, 81)",0.010378599105938927
"(1, 82)",0.008298523771344919
"(1, 83)",0.009882858384873232
"(1, 84)",0.009231654260796146
"(1, 85)",0.009381335447495179
"(1, 86)",0.008771216375010929
"(1, 87)",0.00912265678689328
"(1, 88)",0.009466668311548465
"(1, 89)",0.00796372859506748
"(2, 2)",0.011917616012850912
"(2, 3)",0.010767227077785626
"(2, 4)",0.013064646573513918
"(2, 5)",0.008365651540126617
"(2, 6)",0.009241795856155368
"(2, 7)",0.009569401222612817
"(2, 8)",0.007693985126706821
"(2, 9)",0.011381864740415132
"(2, 10)",0.007863510111825761
"(2, 11)",0.013932869212921188
"(2, 12)",0.011127734396400387
"(2, 13)",0.011047595515497784
"(2, 14)",8.596553627064827e-05
"(2, 15)",0.00978726033712422
"(2, 16)",0.01260390126147415
"(2, 17)",0.009252434628193598
"(2, 18)",0.006853201624026191
"(2, 19)",0.010182829487244848
"(2, 20)",0.009682326767562305
"(2, 21)",0.012372149880873111
"(2, 22)",0.00956024595397155
"(2, 23)",0.01017374512626611
"(2, 24)",0.011922849691799903
"(2, 25)",0.010091890177247197
"(2, 26)",0.010670145356653598
"(2, 27)",0.011753368953897553
"(2, 28)",0.01179725684573525
"(2, 29)",0.012321826190945413
"(2, 30)",0.009014014183727475
"(2, 31)",0.00949747497834649
"(2, 32)",0.009904365167883985
"(2, 33)",0.012998807007076469
"(2, 34)",0.010442241731389494
"(2, 35)",0.011684476210062892
"(2, 36)",0.009280343896752457
"(2, 37)",0.00914659930101927
"(2, 38)",0.010494395042064203
"(2, 39)",0.00875028488408755
"(2, 40)",0.007600405045037984
"(2, 41)",0.010321433789595871
"(2, 42)",0.010790970508080665
"(2, 43)",0.006099389336205766
"(2, 44)",0.009263470776881673
"(2, 45)",0.011302294670097694
"(2, 46)",0.011584676771044654
"(2, 47)",0.009384901064445051
"(2, 48)",0.007843091067245206
"(2, 49)",0.011400301479442885
"(2, 50)",0.010449008093923521
"(2, 51)",0.012118883565528447
"(2, 52)",0.012209963474180794
"(2, 53)",0.00013418435053890024
"(2, 54)",0.008845724195003058
"(2, 55)",0.008281987652820542
"(2, 56)",0.011813850991402796
"(2, 57)",0.010752106810042336
"(2, 58)",0.010496465352916208
"(2, 59)",0.012302815691835178
"(2, 60)",0.010508022760675948
"(2, 61)",0.008874667839423542
"(2, 62)",0.0119255284108846
"(2, 63)",0.006894440564632513
"(2, 64)",0.0066728464193352285
"(2, 65)",0.010785710231169532
"(2, 66)",0.008158337909906757
"(2, 67)",0.007460533356940727
"(2, 68)",0.01178028602359779
"(2, 69)",0.012888808951248604
"(2, 70)",0.012528171364525456
"(2, 71)",0.012167712249424756
"(2, 72)",0.009503080300993609
"(2, 73)",0.008253208135216404
"(2, 74)",0.011826033846244933
"(2, 75)",0.009240180824721117
"(2, 76)",0.007925067794603356
"(2, 77)",0.012769865637007934
"(2, 78)",0.010227233959336135
"(2, 79)",0.009033306347434916
"(2, 80)",0.011189980251741987
"(2, 81)",0.010303518417722677
"(2, 82)",0.0062274252423202055
"(2, 83)",0.008476143986034189
"(2, 84)",0.00595686554516833
"(2, 85)",0.012272425425343464
"(2, 86)",0.011966267075313232
"(2, 87)",0.0075415445646852914
"(2, 88)",0.011773120347671508
"(2, 89)",0.011391862459151443
"(3, 3)",0.012479330501571762
"(3, 4)",0.012793110918466265
"(3, 5)",0.009459120102218938
"(3, 6)",0.011961648152975594
"(3, 7)",0.010822925803821149
"(3, 8)",0.010974166598668527
"(3, 9)",0.012266368188762792
"(3, 10)",0.008872640857346948
"(3, 11)",0.013050441773001215
"(3, 12)",0.00972316815200397
"(3, 13)",0.006011880568617686
"(3, 14)",0.01222226819460811
"(3, 15)",0.00912662238785958
"(3, 16)",0.009577032350840942
"(3, 17)",0.010504723772051102
"(3, 18)",0.007593507938443406
"(3, 19)",0.009915291442564029
"(3, 20)",0.005450892089633387
"(3, 21)",0.012671780415598076
"(3, 22)",0.007839250377767492
"(3, 23)",0.009122237599584011
"(3, 24)",0.01070461966117446
"(3, 25)",0.009083440178748398
"(3, 26)",0.012635591484042969
"(3, 27)",0.008792748733564448
"(3, 28)",0.01109823229641604
"(3, 29)",0.0112207972859816
"(3, 30)",0.010852659022690258
"(3, 31)",0.009945734474227957
"(3, 32)",0.009285083871058981
"(3, 33)",0.010915092835920133
"(3, 34)",0.009970032524859222
"(3, 35)",0.010381082910367236
"(3, 36)",0.01225591674984087
"(3, 37)",0.014020535092869843
"(3, 38)",0.007942854830107211
"(3, 39)",0.011064420244016052
"(3, 40)",0.011630362383504901
"(3, 41)",0.009077797973746101
"(3, 42)",0.008596599307910215
"(3, 43)",0.009893959659487235
"(3, 44)",0.009300615320129319
"(3, 45)",0.010854983236076162
"(3, 46)",0.008207778823436566
"(3, 47)",0.009050758244492668
"(3, 48)",0.01042149888261275
"(3, 49)",0.01020203514528843
"(3, 50)",0.01372876691198601
"(3, 51)",0.012007849886472976
"(3, 52)",0.013098988234280514
"(3, 53)",0.009228191011118754
"(3, 54)",0.007217041455645153
"(3, 55)",0.00909704229488185
"(3, 56)",0.008600024463164348
"(3, 57)",0.009560930731970604
"(3, 58)",0.010840467294358572
"(3, 59)",0.009816164480890921
"(3, 60)",0.011669164966814421
"(3, 61)",0.01211593936074819
"(3, 62)",0.009892182768191217
"(3, 63)",0.008604820670044528
"(3, 64)",0.011048924942114966
"(3, 65)",0.010386382610128399
"(3, 66)",0.009841273350258223
"(3, 67)",0.010163926800006393
"(3, 68)",0.010960967560928936
"(3, 69)",0.010362746068342523
"(3, 70)",0.010275575669536605
"(3, 71)",0.010256575963848843
"(3, 72)",0.007845626578254114
"(3, 73)",0.00873769691912502
"(3, 74)",0.010131904354497206
"(3, 75)",0.011079066761982174
"(3, 76)",0.012680214795643843
"(3, 77)",0.012656931615446608
"(3, 78)",0.008447222029065634
"(3, 79)",0.013475797253506026
"(3, 80)",0.010023753772690033
"(3, 81)",0.007711461463277858
"(3, 82)",0.009026050042476003
"(3, 83)",0.011144534423548652
"(3, 84)",0.01053268664165305
"(3, 85)",0.010738741614861038
"(3, 86)",0.010745751684117129
"(3, 87)",0.009751430161756627
"(3, 88)",0.012359229770551233
"(3, 89)",0.0077056408638265005
"(4, 4)",0.010437200456321094
"(4, 5)",0.01045969821644242
"(4, 6)",0.011693392358076411
"(4, 7)",0.00818627250180538
"(4, 8)",0.007989852392315198
"(4, 9)",0.011209989560427439
"(4, 10)",0.010903823014813692
"(4, 11)",0.00917411869629172
"(4, 12)",0.00926686351459114
"(4, 13)",0.013364781151479661
"(4, 14)",0.012011908139764622
"(4, 15)",0.010662340917524977
"(4, 16)",0.010941384643056754
"(4, 17)",0.010402938791020461
"(4, 18)",0.010160639965351211
"(4, 19)",0.01193704078981862
"(4, 20)",0.011448849889145516
"(4, 21)",0.011775095929926475
"(4, 22)",0.01141527048845565
"(4, 23)",0.010311323877760866
"(4, 24)",0.010156219463240699
"(4, 25)",0.012326655215337854
"(4, 26)",0.010212660741641375
"(4, 27)",0.012948718362316113
"(4, 28)",0.010030636446497765
"(4, 29)",0.010023071720812881
"(4, 30)",0.010711919012593886
"(4, 31)",0.00990837276580073
"(4, 32)",0.013186253219625129
"(4, 33)",0.009289367278975997
"(4, 34)",0.011632180800899353
"(4, 35)",0.010991841365215787
"(4, 36)",0.008948610546329292
"(4, 37)",0.010166801221390631
"(4, 38)",0.012718571686909867
"(4, 39)",0.009474155246043246
"(4, 40)",0.008381437624357344
"(4, 41)",0.010335317973487326
"(4, 42)",0.011510553678911226
"(4, 43)",0.011445799037819896
"(4, 44)",0.010525082495329022
"(4, 45)",0.011170801137988013
"(4, 46)",0.007769625697454023
"(4, 47)",0.01051055788110537
"(4, 48)",0.012455658502981913
"(4, 49)",0.01020323469562262
"(4, 50)",0.008980971622469797
"(4, 51)",0.010717468883477648
"(4, 52)",0.01203830813483254
"(4, 53)",0.009688292547159133
"(4, 54)",0.010559838614046028
"(4, 55)",0.01149298259532229
"(4, 56)",0.011099772219357614
"(4, 57)",0.01049680126048668
